name,member_id,party_id,pol_group_id,party_pol_group_id,chamber,uid,party,name_link,function,region,constituency,scraper_url,date_of_inactivity,country,country_id,legislative_period_id,mp_party_id
luther strange,0,0,,0,Senate,829794295355940864,Republican,https://www.strange.senate.gov/,Class II,AL,,https://www.senate.gov/senators/contact/,2021-01-03,United States,25,2,61620
john kennedy,1,0,,0,Senate,816683274076614528,Republican,http://www.kennedy.senate.gov/,Class III,LA,,https://www.senate.gov/senators/contact/,2023-01-03,United States,25,2,61620
catherine cortez masto,2,1,,0,Senate,811313565760163840,Democrat,http://www.cortezmasto.senate.gov/,Class III,NV,,https://www.senate.gov/senators/contact/,2023-01-03,United States,25,2,61320
thom tillis,3,0,,0,Senate,2964174789,Republican,http://www.tillis.senate.gov/,Class II,NC,,https://www.senate.gov/senators/contact/,2021-01-03,United States,25,2,61620
mike rounds,4,0,,0,Senate,2955485182,Republican,http://www.rounds.senate.gov/,Class II,SD,,https://www.senate.gov/senators/contact/,2021-01-03,United States,25,2,61620
dan sullivan,5,0,,0,Senate,2891210047,Republican,http://www.sullivan.senate.gov/,Class II,AK,,https://www.senate.gov/senators/contact/,2021-01-03,United States,25,2,61620
david perdue,6,0,,0,Senate,2863210809,Republican,http://www.perdue.senate.gov/,Class II,GA,,https://www.senate.gov/senators/contact/,2021-01-03,United States,25,2,61620
joni ernst,7,0,,0,Senate,2856787757,Republican,http://www.ernst.senate.gov/,Class II,IA,,https://www.senate.gov/senators/contact/,2021-01-03,United States,25,2,61620
ben sasse,8,0,,0,Senate,1480852568,Republican,http://www.sasse.senate.gov/,Class II,NE,,https://www.senate.gov/senators/contact/,2021-01-03,United States,25,2,61620
brian schatz,9,1,,0,Senate,1262099252,Democrat,http://www.schatz.senate.gov/,Class III,HI,,https://www.senate.gov/senators/contact/,2023-01-03,United States,25,2,61320
mitch mcconnell,10,0,,0,Senate,1249982359,Republican,http://www.mcconnell.senate.gov/,Class II,KY,,https://www.senate.gov/senators/contact/,2021-01-03,United States,25,2,61620
james e. risch,11,0,,0,Senate,1096059529,Republican,http://www.risch.senate.gov/,Class II,ID,,https://www.senate.gov/senators/contact/,2021-01-03,United States,25,2,61620
martin heinrich,12,1,,0,Senate,1099199839,Democrat,http://www.heinrich.senate.gov/,Class I,NM,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,61320
tammy baldwin,13,1,,0,Senate,1074518754,Democrat,http://www.baldwin.senate.gov/,Class I,WI,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,61320
ted cruz,14,0,,0,Senate,1074480192,Republican,http://www.cruz.senate.gov/,Class I,TX,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,61620
deb fischer,15,0,,0,Senate,1071402577,Republican,http://www.fischer.senate.gov/,Class I,NE,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,61620
jr. angus s. king,16,2,,0,Senate,1068481578,Independent,http://www.king.senate.gov/,Class I,ME,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,
heidi heitkamp,17,1,,0,Senate,1061029050,Democrat,http://www.heitkamp.senate.gov/,Class I,ND,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,61320
tammy duckworth,18,1,,0,Senate,1058520120,Democrat,http://www.duckworth.senate.gov/,Class III,IL,,https://www.senate.gov/senators/contact/,2023-01-03,United States,25,2,61320
elizabeth warren,19,1,,0,Senate,970207298,Democrat,http://www.warren.senate.gov/,Class I,MA,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,61320
tom cotton,20,0,,0,Senate,968650362,Republican,http://www.cotton.senate.gov/,Class II,AR,,https://www.senate.gov/senators/contact/,2021-01-03,United States,25,2,61620
margaret wood hassan,21,1,,0,Senate,946549322,Democrat,http://www.hassan.senate.gov/,Class III,NH,,https://www.senate.gov/senators/contact/,2023-01-03,United States,25,2,61320
mike crapo,22,0,,0,Senate,600463589,Republican,http://www.crapo.senate.gov/,Class III,ID,,https://www.senate.gov/senators/contact/,2023-01-03,United States,25,2,61620
thad cochran,23,0,,0,Senate,555474658,Republican,http://www.cochran.senate.gov/,Class II,MS,,https://www.senate.gov/senators/contact/,2021-01-03,United States,25,2,61620
jon tester,24,1,,0,Senate,515822213,Democrat,http://www.tester.senate.gov/,Class I,MT,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,61320
jack reed,25,1,,0,Senate,486694111,Democrat,http://www.reed.senate.gov/,Class II,RI,,https://www.senate.gov/senators/contact/,2021-01-03,United States,25,2,61320
dianne feinstein,26,1,,0,Senate,476256944,Democrat,http://www.feinstein.senate.gov/,Class I,CA,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,61320
lindsey graham,27,0,,0,Senate,432895323,Republican,http://www.lgraham.senate.gov/,Class II,SC,,https://www.senate.gov/senators/contact/,2021-01-03,United States,25,2,61620
john hoeven,28,0,,0,Senate,382791093,Republican,http://www.hoeven.senate.gov/,Class III,ND,,https://www.senate.gov/senators/contact/,2023-01-03,United States,25,2,61620
john thune,29,0,,0,Senate,296361085,Republican,http://www.thune.senate.gov/,Class III,SD,,https://www.senate.gov/senators/contact/,2023-01-03,United States,25,2,61620
patty murray,30,1,,0,Senate,293131808,Democrat,http://www.murray.senate.gov/,Class III,WA,,https://www.senate.gov/senators/contact/,2023-01-03,United States,25,2,61320
michael b. enzi,31,0,,0,Senate,291756142,Republican,http://www.enzi.senate.gov/,Class II,WY,,https://www.senate.gov/senators/contact/,2021-01-03,United States,25,2,61620
richard blumenthal,32,1,,0,Senate,278124059,Democrat,http://www.blumenthal.senate.gov/,Class III,CT,,https://www.senate.gov/senators/contact/,2023-01-03,United States,25,2,61320
dean heller,33,0,,0,Senate,266133081,Republican,http://www.heller.senate.gov/,Class I,NV,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,61620
roger f. wicker,34,0,,0,Senate,264219447,Republican,http://www.wicker.senate.gov/,Class I,MS,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,61620
orrin g. hatch,35,0,,0,Senate,262756641,Republican,http://www.hatch.senate.gov/,Class I,UT,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,61620
ron wyden,36,1,,0,Senate,250188760,Democrat,http://www.wyden.senate.gov/,Class III,OR,,https://www.senate.gov/senators/contact/,2023-01-03,United States,25,2,61320
thomas r. carper,37,1,,0,Senate,249787913,Democrat,http://www.carper.senate.gov/,Class I,DE,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,61320
richard j. durbin,38,1,,0,Senate,247334603,Democrat,http://www.durbin.senate.gov/,Class II,IL,,https://www.senate.gov/senators/contact/,2021-01-03,United States,25,2,61320
patrick j. leahy,39,1,,0,Senate,242836537,Democrat,http://www.leahy.senate.gov/,Class III,VT,,https://www.senate.gov/senators/contact/,2023-01-03,United States,25,2,61320
sheldon whitehouse,40,1,,0,Senate,242555999,Democrat,http://www.whitehouse.senate.gov/,Class I,RI,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,61320
gary c. peters,41,1,,0,Senate,236511574,Democrat,http://www.peters.senate.gov/,Class II,MI,,https://www.senate.gov/senators/contact/,2021-01-03,United States,25,2,61320
cory gardner,42,0,,0,Senate,235217558,Republican,http://www.gardner.senate.gov/,Class II,CO,,https://www.senate.gov/senators/contact/,2021-01-03,United States,25,2,61620
todd young,43,0,,0,Senate,234128524,Republican,http://www.young.senate.gov/,Class III,IN,,https://www.senate.gov/senators/contact/,2023-01-03,United States,25,2,61620
iii joe manchin,44,1,,0,Senate,234374703,Democrat,http://www.manchin.senate.gov/,Class I,WV,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,61320
ron johnson,45,0,,0,Senate,233737858,Republican,http://www.ronjohnson.senate.gov/,Class III,WI,,https://www.senate.gov/senators/contact/,2023-01-03,United States,25,2,61620
james lankford,46,0,,0,Senate,225921757,Republican,http://www.lankford.senate.gov/,Class III,OK,,https://www.senate.gov/senators/contact/,2023-01-03,United States,25,2,61620
michael f. bennet,47,1,,0,Senate,224285242,Democrat,http://www.bennet.senate.gov/,Class III,CO,,https://www.senate.gov/senators/contact/,2023-01-03,United States,25,2,61320
patrick j. toomey,48,0,,0,Senate,221162525,Republican,http://www.toomey.senate.gov/,Class III,PA,,https://www.senate.gov/senators/contact/,2023-01-03,United States,25,2,61620
tim scott,49,0,,0,Senate,217543151,Republican,http://www.scott.senate.gov/,Class III,SC,,https://www.senate.gov/senators/contact/,2023-01-03,United States,25,2,61620
rand paul,50,0,,0,Senate,216881337,Republican,http://www.paul.senate.gov/,Class III,KY,,https://www.senate.gov/senators/contact/,2023-01-03,United States,25,2,61620
joe donnelly,51,1,,0,Senate,216503958,Democrat,http://www.donnelly.senate.gov/,Class I,IN,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,61320
john barrasso,52,0,,0,Senate,202206694,Republican,http://www.barrasso.senate.gov/,Class I,WY,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,61620
shelley moore capito,53,0,,0,Senate,193794406,Republican,http://www.capito.senate.gov/,Class II,WV,,https://www.senate.gov/senators/contact/,2021-01-03,United States,25,2,61620
tim kaine,54,1,,0,Senate,172858784,Democrat,http://www.kaine.senate.gov/,Class I,VA,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,61320
jr. robert p. casey,55,1,,0,Senate,171598736,Democrat,http://www.casey.senate.gov/,Class I,PA,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,61320
christopher murphy,56,1,,0,Senate,150078976,Democrat,http://www.murphy.senate.gov/,Class I,CT,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,61320
maria cantwell,57,1,,0,Senate,117501995,Democrat,http://www.cantwell.senate.gov/,Class I,WA,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,61320
jeanne shaheen,58,1,,0,Senate,109287731,Democrat,http://www.shaheen.senate.gov/,Class II,NH,,https://www.senate.gov/senators/contact/,2021-01-03,United States,25,2,61320
benjamin l. cardin,59,1,,0,Senate,109071031,Democrat,http://www.cardin.senate.gov/,Class I,MD,,https://www.senate.gov/senators/contact/,2019-01-03,United States,25,2,61320
